entry_time,exit_time,direction,entry_price,exit_price,outcome,pnl
2023-01-08 21:01:00+00:00,2023-01-08 21:06:00+00:00,UP,147.81520029399584,147.98050526173014,win,0.85
2023-01-08 23:22:00+00:00,2023-01-08 23:27:00+00:00,UP,148.0911287351093,147.96240257844636,loss,-1.0
2023-01-09 03:25:00+00:00,2023-01-09 03:30:00+00:00,UP,148.63525376818507,148.74748557229884,win,0.85
2023-01-09 04:39:00+00:00,2023-01-09 04:44:00+00:00,UP,147.80495691154476,148.12728870123823,win,0.85
2023-01-09 16:43:00+00:00,2023-01-09 16:48:00+00:00,UP,148.1876456569601,148.4732860196012,win,0.85
2023-01-10 02:34:00+00:00,2023-01-10 02:39:00+00:00,DOWN,149.1802204415643,148.96568322076635,win,0.85
2023-01-10 03:11:00+00:00,2023-01-10 03:16:00+00:00,DOWN,150.02345576779717,149.95036929608082,win,0.85
2023-01-10 03:25:00+00:00,2023-01-10 03:30:00+00:00,DOWN,150.29718354556002,150.1293698729936,win,0.85
2023-01-10 14:09:00+00:00,2023-01-10 14:14:00+00:00,DOWN,149.73337051952183,149.7017752930381,win,0.85
2023-01-10 17:41:00+00:00,2023-01-10 17:46:00+00:00,UP,148.873288106801,149.0981574158941,win,0.85
2023-01-10 17:47:00+00:00,2023-01-10 17:52:00+00:00,UP,149.1283251352571,149.10311121506516,loss,-1.0
2023-01-10 17:53:00+00:00,2023-01-10 17:58:00+00:00,UP,149.04341158389187,148.94508553733127,loss,-1.0
2023-01-10 17:59:00+00:00,2023-01-10 18:04:00+00:00,UP,149.05029257461587,149.0048370726211,loss,-1.0
2023-01-10 21:35:00+00:00,2023-01-10 21:40:00+00:00,UP,147.89807730178111,148.16979026519476,win,0.85
2023-01-11 03:04:00+00:00,2023-01-11 03:09:00+00:00,DOWN,149.551330424658,149.37204339708768,win,0.85
2023-01-11 10:56:00+00:00,2023-01-11 11:01:00+00:00,UP,149.36569540138348,149.38765372367536,win,0.85
2023-01-11 11:13:00+00:00,2023-01-11 11:18:00+00:00,UP,148.98115827775342,148.86033719803225,loss,-1.0
2023-01-11 11:34:00+00:00,2023-01-11 11:39:00+00:00,UP,148.44034644625967,148.29653064971018,loss,-1.0
2023-01-11 11:40:00+00:00,2023-01-11 11:45:00+00:00,UP,148.22825332413996,147.9616165840371,loss,-1.0
2023-01-11 11:46:00+00:00,2023-01-11 11:51:00+00:00,UP,147.86081973692097,147.69023921226758,loss,-1.0
2023-01-11 11:52:00+00:00,2023-01-11 11:57:00+00:00,UP,147.83032843579184,147.92873200654293,win,0.85
2023-01-11 12:02:00+00:00,2023-01-11 12:07:00+00:00,UP,147.49082447945582,147.5227738621555,win,0.85
2023-01-11 12:45:00+00:00,2023-01-11 12:50:00+00:00,DOWN,148.88309084368416,148.8041474633348,win,0.85
2023-01-11 21:38:00+00:00,2023-01-11 21:43:00+00:00,UP,147.9572701538456,147.9095750145748,loss,-1.0
2023-01-13 12:14:00+00:00,2023-01-13 12:19:00+00:00,DOWN,149.09144585939134,149.04145969540633,win,0.85
2023-01-13 12:23:00+00:00,2023-01-13 12:28:00+00:00,DOWN,149.23041248588956,149.38679307590755,loss,-1.0
2023-01-13 12:29:00+00:00,2023-01-13 12:34:00+00:00,DOWN,149.36876006129367,149.24604616890446,win,0.85
2023-01-13 13:59:00+00:00,2023-01-13 14:04:00+00:00,UP,148.62133645747554,148.56976477269745,loss,-1.0
2023-01-13 15:32:00+00:00,2023-01-13 15:37:00+00:00,UP,147.92670040279057,147.5709115787185,loss,-1.0
2023-01-13 15:38:00+00:00,2023-01-13 15:43:00+00:00,UP,147.6187328152522,147.84066077557242,win,0.85
2023-01-13 15:58:00+00:00,2023-01-13 16:03:00+00:00,UP,147.308417885104,147.35214781931913,win,0.85
2023-01-13 19:01:00+00:00,2023-01-13 19:06:00+00:00,DOWN,148.39304346862156,148.03789018919232,win,0.85
2023-01-14 02:49:00+00:00,2023-01-14 02:54:00+00:00,UP,147.421861583025,147.16859034946157,loss,-1.0
2023-01-14 06:37:00+00:00,2023-01-14 06:42:00+00:00,UP,146.88925240625412,147.15795743247625,win,0.85
2023-01-14 10:36:00+00:00,2023-01-14 10:41:00+00:00,DOWN,148.51375989532463,148.72607440888825,loss,-1.0
2023-01-14 10:42:00+00:00,2023-01-14 10:47:00+00:00,DOWN,148.79097461317374,148.9471387800615,loss,-1.0
2023-01-14 10:48:00+00:00,2023-01-14 10:53:00+00:00,DOWN,148.92945393036126,149.01999597787645,loss,-1.0
2023-01-14 16:48:00+00:00,2023-01-14 16:53:00+00:00,DOWN,147.54727274687826,147.4500794802765,win,0.85
2023-01-14 18:36:00+00:00,2023-01-14 18:41:00+00:00,DOWN,148.32667666203642,148.27678776441232,win,0.85
2023-01-14 19:25:00+00:00,2023-01-14 19:30:00+00:00,UP,147.18051136436625,146.96998657831665,loss,-1.0
